name,birthdate,credits,gpa,teachers
Jesse Patterson,1974-06-24T13:34:04.711,149,14.28019,Mrs. Darlene Anderson|Michael Baker|Robert Padilla|Mrs. Deanna Washington DVM
Andrew Cross,1948-03-10T13:34:05.408,9,14.161584,Rachel Wu|Gail Alexander|Adam Anderson|Richard Bryant|Heather Fisher|Angelica Henry|Carl Gomez|Brittany Jackson|Diane Atkins|Carrie Santos|Victoria Brady|Brandi Patton
Gary Rhodes,1986-11-03T13:34:05.133,180,14.368972,David Larsen|Deborah Jones|Joseph Krause|Rhonda Bowman
Kathy Golden,2006-04-11T13:34:05.269,32,14.997892,Karen Rodriguez|Anthony Walsh|Brett Knight|Gregory Harper|Rachel Wu|Jennifer Rodriguez|Diane Atkins|Brittany Jackson
Joan Boone,2007-03-29T13:34:04.825,180,15.36914,Diane Atkins|Anthony Walsh|Robert Nunez|April Brown|Shirley Scott|Karen Tran|Diane Atkins|Matthew Morgan|Mary Becker|Alejandra Middleton|Anna Page|Christopher Cook|Brittany Jackson|Kimberly Ellis|Jordan Humphrey|Traci Smith|Scott Collins|Stephanie Miranda
Frank Love,1972-12-23T13:34:05.903,11,18.010242,Jennifer Rodriguez|Kyle Garcia|Ricardo Weber|Christopher Cook|Joshua Hill|Anthony Walsh|John Ward
Brady Miller,1902-12-10T13:34:05.655,180,14.38907,Matthew Morgan|Gregory Harper|Theodore Reyes|Michael Baker|Robert Padilla|Carlos Thomas|Diane Atkins|Chad Wood|Mrs. Deanna Washington DVM|Stacey Hernandez
Shelby Soto,1993-05-04T13:34:05.680,180,15.014605,Joseph Thompson|Carl Gomez|Brittany Jackson|Elizabeth Castaneda|April Brown|Adam Anderson
Mary Moore,1958-08-24T13:34:05.361,180,14.9584465,Victoria Brady|Jennifer Rodriguez|Mario Green|Victoria Brady|Matthew Morgan|Matthew Jones
Arthur Brandt,2006-11-17T13:34:05.701,180,14.664744,Brittany Jackson|David Johnson|Erin Douglas|Jerry Johnson|Karen Riley|Michael Gonzales|Paul Schaefer|Stacey Hernandez|Joseph Thompson|Michael Baker|Angelica Henry|Carl Gomez|David Larsen|Carlos Thomas|Heather Fisher
April Brown,1965-06-05T13:34:04.278,42,15.742552,Anthony Walsh|Taylor Dougherty|Suzanne Wilson|Jessica Jones|Michael Gonzales|Carrie Santos
Shannon Hodges,1941-07-21T13:34:04.417,180,14.08113,Carly Lawrence|Jerry Johnson|Robert Nunez|Theodore Reyes|Mrs. Darlene Anderson|Michael Gonzales|Carlos Thomas|Rhonda Bowman|Joseph Thompson|Ann Wallace|Erin Douglas|Shawn Williams|Jessica Jones|Gregory Harper
Holly Anderson,2004-01-27T13:34:00.329,3,0.0,Jennifer Rodriguez|Rachel Wu|Becky Mcgee|Suzanne Wilson|Joel Hammond|Heather Fisher|Joseph Thompson|David Wallace|Jorge Jackson|Taylor Dougherty|Diana Hamilton|Jessica Jones|Robert Padilla|Stephanie Miranda|Robert Nunez|Kristen Pierce|Lisa Thomas|Becky Mcgee
Katherine Martin,2009-05-27T13:34:06.194,53,15.39974,Carrie Santos|Jennifer Rodriguez|Gregory Harper|Diane Atkins|Joseph Thompson|John Ward|Stephanie Miranda|Jessica Jones
Cathy Allen,1925-01-07T13:34:04.380,180,14.760677,Tristan Romero|Joshua Hill|Tristan Romero|Christopher Cook|Becky Mcgee|Heather Fisher|Joseph Thompson|Erin Douglas|Stacey Hernandez|Anthony Walsh
Mary Lewis,1969-05-20T13:34:02.292,143,14.254433,Joseph Thompson|Jamie Willis|Joel Hammond|Richard Bryant|Morgan Wade|Matthew Jones|Mary Becker|Traci Smith|Troy Robinson|Brittany Jackson|Joan Boone|Karen Riley|Stacey Hernandez
Kaylee Gonzalez,1963-03-09T13:34:02.334,86,14.736038,Diane Atkins|Mario Green|Richard Bryant|Carly Lawrence
Denise Moore,1935-09-24T13:34:05.809,6,14.812819,Erin Douglas|Jessica Jones|Rachel Wu|Jorge Jackson|Tiffany Solomon|James Bishop
Joel Stephens,2004-11-13T13:34:02.862,180,14.214856,Paul Schaefer|Stephanie Miranda|Brittany Jackson|Brooke Williams|Angelica Henry|Victoria Brady|Jill Lawrence|Suzanne Wilson|Becky Mcgee|Rachel Wu|Mario Green|Carrie Santos
Toni Foster,1904-12-06T13:34:03.119,45,15.160051,Jorge Jackson|Jessica King|Gregory Harper|Heather Fisher|Rhonda Bowman|Brittany Jackson|Joshua Hill
Julian Adams,1919-04-16T13:34:03.202,53,14.188367,Lisa Thomas|Paul Schaefer|Victoria Brady|Andrew Cross|Carly Lawrence|Matthew Morgan|April Brown|Carl Gomez|Robert Padilla
Erin Bishop,1917-03-19T13:34:04.502,13,13.829284,Mrs. Deanna Washington DVM|Chad Wood|Theodore Reyes|Jordan Wallace|David Wallace|Scott Collins|Heather Fisher|Gregory Harper|Diana Hamilton|Jessica Jones|Robert Padilla
Brian Hall,1906-05-03T13:34:03.679,161,13.704901,Jorge Jackson|April Brown|Erin Douglas|James Bishop|Kyle Garcia|David Larsen|Mrs. Deanna Washington DVM|Jessica Jones|Kimberly Ellis
Angela Thompson,1977-07-22T13:34:03.947,4,0.0,Kristen Pierce|Alejandra Middleton|David Larsen|Jordan Wallace|Scott Collins|Kyle Garcia|Carly Lawrence|Jordan Wallace|Morgan Wade|Mrs. Deanna Washington DVM|Richard Bryant|Mary Becker|Morgan Wade|Chad Wood|Stephanie Miranda|Brandi Patton|Robert Nunez|Ricardo Weber|Carrie Santos|Tiffany Solomon
Crystal Trevino,1994-03-13T13:34:02.415,82,14.595728,Brittany Jackson|Carly Lawrence|Joseph Krause|Sarah Villarreal|Mrs. Darlene Anderson|Christopher Cook|Karen Rodriguez|Heather Fisher|David Larsen|David Johnson
Matthew Nelson,1977-04-05T13:34:04.867,73,15.882587,Morgan Wade|Angelica Henry|Tiffany Solomon|Kimberly Ellis|Vanessa Hill|Scott Collins|Carly Lawrence|Rachel Wu|Matthew Jones|Diana Hamilton|Richard Bryant
Victoria Brady,1983-05-30T13:34:03.832,139,14.628733,Morgan Wade|Michael Gonzales|Richard Bryant|Joseph Krause|Taylor Dougherty|Michael Gonzales|Patrick Berry|Deborah Jones|Jamie Willis|Paula Ramirez|Traci Smith|Karen Rodriguez
Jason Zhang,1923-02-07T13:34:04.911,49,15.120327,David Wallace|Jordan Wallace|Chad Wood|Anthony Walsh|Stephanie Miranda|Tiffany Solomon
Katelyn Perez,1920-03-29T13:34:03.524,180,14.724046,Heather Elliott|Brooke Williams|David Larsen|Mrs. Darlene Anderson|James Bishop|Paul Schaefer
Aaron Guzman,1912-12-12T13:34:05.092,180,14.9710655,Mario Green|Carlos Thomas|Morgan Wade|Diana Hamilton|Jill Lawrence|April Brown|Diana Hamilton|Jorge Jackson|David Larsen|Karen Rodriguez|Patrick Berry|Troy Robinson
Bethany Munoz,1930-07-07T13:34:05.057,142,15.109398,Angelica Henry|Kyle Garcia|Sarah Villarreal|Morgan Wade|Shirley Scott
Robert Johnson,1991-08-14T13:34:06.152,10,10.771152,Stacey Hernandez|Diane Atkins|Becky Mcgee|Michael Gonzales|Chad Wood|Brooke Williams|Sarah Villarreal|Jordan Wallace|Chad Wood|April Brown|Stephanie Miranda|Joan Boone|Adam Anderson|Joel Hammond|Brittany Jackson|Shirley Scott|Carl Gomez
James Smith,1936-09-07T13:34:02.721,180,15.543243,Karen Rodriguez|Jamie Willis|Erin Douglas|Joseph Krause|Deborah Jones|Elizabeth Castaneda|Cristian Adams|Jorge Jackson|Jill Lawrence
Tim Sanchez,1988-01-03T13:34:02.976,180,14.565264,Alejandra Middleton|Robert Nunez|Shirley Scott|Michael Gonzales|Stacey Hernandez|John Ward|Rachel Wu|Carl Gomez
Mario Wright,1941-03-12T13:34:04.579,180,14.481913,Jessica Jones|Morgan Wade|Patrick Berry|Gail Alexander|Carl Gomez|Cristian Adams|Jamie Willis|Richard Bryant|Michael Gonzales|Deborah Jones|Brett Knight
Richard Sanchez,2007-11-15T13:34:04.625,102,13.924133,Lisa Thomas|Diane Atkins|Chad Wood|Michael Gonzales|Jamie Willis|Rachel Wu|Joan Boone|Karen Tran|Matthew Morgan|Jessica King|David Larsen|Carl Gomez|April Brown|Brooke Williams|Deborah Jones|Joshua Hill
Rebecca Morales,1910-02-04T13:34:02.513,4,0.0,Paul Schaefer|Francis Hahn|Anna Page|Mary Becker|Heather Elliott
Jane Anderson,1993-08-12T13:34:05.592,149,14.589977,Sarah Villarreal|Gail Alexander|Deborah Jones|Ann Wallace|Sarah Villarreal|Rachel Wu|Mrs. Deanna Washington DVM|Kyle Garcia|Francis Hahn|Gregory Harper|Traci Smith|Rhonda Bowman|Mrs. Darlene Anderson
Scott Collins,1960-05-01T13:34:03.248,154,15.755122,Sarah Villarreal|Brianna Pena|David Larsen|Tiffany Solomon|Richard Bryant|Vanessa Hill|Richard Bryant|Ann Wallace|James Bishop
Barbara Hendricks,1948-09-27T13:34:03.442,180,14.873041,Jessica Jones|Alejandra Middleton|Mrs. Darlene Anderson|Sarah Mullins|Becky Mcgee|Anthony Walsh|Diane Atkins|Carly Lawrence|Karen Tran
Eugene Torres,1972-05-10T13:34:03.735,59,15.069597,Karen Rodriguez|Jordan Wallace|Carlos Thomas|Ann Wallace|Stacey Hernandez|Deborah Jones|Stephanie Miranda|Stacey Hernandez|Kenneth Alexander MD|Suzanne Wilson|Diane Atkins|Diane Atkins|Anthony Walsh|Mrs. Deanna Washington DVM
William Martinez PhD,1915-11-20T13:34:05.232,31,14.048884,Brandi Patton|Erin Douglas|Sarah Villarreal|Scott Collins|Jordan Wallace|Brooke Williams|Carrie Santos|Rachel Wu|Lisa Thomas|James Bishop|Diana Hamilton|Kyle Garcia|Jill Lawrence|Becky Mcgee
Annette Haynes,2004-01-17T13:34:04.329,180,15.230167,Heather Fisher|Sarah Mullins|Matthew Jones|Chad Wood|Jessica King|Paul Schaefer|Stacey Hernandez|Anna Page|Diana Hamilton|Brandi Patton|Kenneth Alexander MD|Jordan Humphrey|Robert Nunez
Emily Davenport,1970-11-04T13:34:04.783,180,14.319347,Matthew Morgan|Shirley Scott|Becky Mcgee|Mrs. Deanna Washington DVM|Paula Ramirez|Sarah Villarreal|Francis Hahn|Cristian Adams
Antonio Lopez,1993-05-16T13:34:03.484,120,15.409162,Paula Ramirez|Jordan Humphrey|Carly Lawrence|Brianna Pena|Robert Padilla|Ricardo Weber|Michael Gonzales|Tiffany Solomon|Anna Page|Rhonda Bowman|Sarah Villarreal|Carlos Thomas|Kenneth Alexander MD
Jane Schmitt,1990-01-26T13:34:04.026,5,0.0,Theodore Reyes|Jorge Jackson|Heather Elliott|Kenneth Alexander MD|Shawn Williams|Matthew Jones|Andrew Cross|Sarah Mullins|Suzanne Wilson|Victoria Brady|Joseph Thompson
Matthew Rose,1924-07-18T13:34:04.753,180,15.065582,Paul Schaefer|Jordan Humphrey|Victoria Brady|Ricardo Weber|Anna Page|Christopher Cook|Jamie Willis|Matthew Morgan|Reginald Hughes|Tiffany Solomon
Brenda Graham,1946-06-24T13:34:04.952,70,13.371481,Robert Padilla|Joshua Hill|Matthew Jones|Angelica Henry|Kyle Garcia|Adam Anderson|Diane Atkins|Adam Anderson|Cristian Adams|Donna Harris
William Hawkins,1966-03-17T13:34:04.982,72,14.440423,James Bishop|Willie Orr|Kenneth Alexander MD|Robert Nunez|Kristen Pierce|Kyle Garcia|Brooke Williams|Cristian Adams|Reginald Hughes|Jorge Jackson|Andrew Cross|David Johnson|Suzanne Wilson|Kimberly Ellis|April Brown
David Larsen,2001-09-26T13:34:05.190,78,15.466526,Anna Page|Diana Hamilton|Rhonda Bowman|Joseph Thompson|Carl Gomez|Andrew Cross|David Johnson|James Bishop|Anthony Walsh|Michael Gonzales|Troy Robinson|Karen Tran|Kristen Pierce
Joseph Morris,1977-07-21T13:34:05.737,54,15.20255,Mrs. Deanna Washington DVM|Jessica King|Jennifer Rodriguez|Diane Atkins|Mario Green|Victoria Brady|Shirley Scott|Michael Baker|Mrs. Darlene Anderson|James Bishop|Carlos Thomas|April Brown|Christopher Cook|Shawn Williams
Meghan Robbins,1906-08-10T13:34:05.849,180,15.035175,Kenneth Alexander MD|Mary Becker|David Johnson|Anthony Walsh|Jessica King|Carlos Thomas|Tiffany Solomon|Gregory Harper|Victoria Brady|Michael Gonzales|Joshua Hill|Karen Tran
Albert Murphy,1960-11-07T13:34:05.884,58,16.292759,April Brown|Becky Mcgee|Brooke Williams|Ann Wallace|Mary Becker|Sarah Villarreal|Vanessa Hill|Joel Hammond|Jordan Wallace|Carrie Santos|Gregory Harper|Patrick Berry|Jamie Willis
Scott Strong,2003-01-25T13:34:05.996,66,15.052786,Tristan Romero|Troy Robinson|Willie Orr|Jessica Jones|Carrie Santos|Joan Boone|April Brown|Kristen Pierce
Antonio Simmons,1972-05-31T13:34:06.119,73,13.376021,David Wallace|Heather Elliott|Vanessa Hill|Joseph Thompson|Francis Hahn|Alejandra Middleton|Suzanne Wilson|Joseph Krause|Jamie Willis|Kristen Pierce|Carl Gomez|Erin Douglas|Kyle Garcia|Troy Robinson|Taylor Dougherty|Gregory Harper|Brandi Patton
Tiffany Solomon,1994-04-25T13:34:06.026,98,15.300391,Paul Schaefer|James Bishop|Taylor Dougherty|Mrs. Deanna Washington DVM|Sarah Villarreal|Willie Orr
