teacher,total,students
Troy Robinson,8,Antonio Simmons|Bryan Flynn|Mary Lewis|David Larsen|Scott Strong|Joshua Black|Aaron Guzman|Gina Evans
Adam Anderson,8,Andrew Cross|Sabrina Moore|Brenda Graham|Brenda Graham|Alan Miller|Richard Peterson|Shelby Soto|Robert Johnson
David Wallace,8,Antonio Simmons|Tricia Gibbs|James Wheeler|Julia Francis|Keith Phelps|Holly Anderson|Jason Zhang|Erin Bishop
Robert Nunez,8,Annette Haynes|Holly Anderson|William Hawkins|Molly Miller|Tim Sanchez|Shannon Hodges|Joan Boone|Angela Thompson
Joshua Hill,8,Cathy Allen|Brenda Graham|Meghan Robbins|Frank Love|Gina Evans|Richard Sanchez|Toni Foster|Julia Francis
Mario Green,8,David Johnson|Jacqueline Anderson|Aaron Guzman|Dennis Walker|Mary Moore|Kaylee Gonzalez|Joel Stephens|Joseph Morris
Gail Alexander,8,Jane Anderson|Sergio Norton|Melanie Mcmillan|Shannon Molina|Mario Wright|Andrew Cross|David Johnson|Robert Johnson
Theodore Reyes,8,Shannon Hodges|Sabrina Moore|Brady Miller|Katie Andrews|Erin Bishop|Jane Schmitt|Robert Johnson|James Wheeler
Joseph Krause,8,Victoria Brady|James Smith|Crystal Trevino|Antonio Simmons|Gina Evans|Gary Rhodes|Joshua Black|Julia Francis
Anna Page,8,Douglas Moore|David Larsen|Bryan Finley|Joan Boone|Rebecca Morales|Matthew Rose|Annette Haynes|Antonio Lopez
John Ward,7,Katherine Martin|Brenda Williams|Nicholas Willis|Tricia Gibbs|Tim Sanchez|Hannah Berry|Frank Love
Andrew Cross,7,David Larsen|Robert Warren|Alan Miller|Jane Schmitt|William Hawkins|Julian Adams|Katie Andrews
Scott Collins,7,Brenda Williams|Melanie Mcmillan|Angela Thompson|Erin Bishop|Matthew Nelson|Joan Boone|William Martinez PhD
Kenneth Alexander MD,7,Eugene Torres|William Hawkins|Maria Reese|Annette Haynes|Meghan Robbins|Antonio Lopez|Jane Schmitt
Cristian Adams,7,Emily Davenport|Brenda Graham|Alan Miller|Katie Andrews|William Hawkins|Mario Wright|James Smith
Taylor Dougherty,7,April Brown|Victoria Brady|Holly Anderson|Cynthia Solomon|Antonio Simmons|Tiffany Solomon|Shirley Scott
Heather Elliott,7,Jennifer Singleton|Jane Schmitt|Katie Fitzpatrick|Rebecca Morales|Antonio Simmons|Dennis Walker|Katelyn Perez
Lisa Thomas,7,William Martinez PhD|Gina Evans|Holly Anderson|Richard Sanchez|Julian Adams|Tricia Gibbs|Julie Sheppard
Jerry Johnson,6,Shannon Hodges|Tricia Gibbs|Brenda Williams|Dennis Walker|Keith Phelps|Arthur Brandt
Michael Baker,6,Jesse Patterson|Hannah Berry|Brady Miller|Joseph Morris|Arthur Brandt|Cynthia Solomon
Shawn Williams,6,Jacqueline Anderson|Joseph Morris|Jane Schmitt|Shannon Hodges|Mrs. Erica Martinez|Jennifer Singleton
Joel Hammond,6,Robert Johnson|Brenda Williams|Holly Anderson|Mary Lewis|Albert Murphy|Sabrina Moore
Jordan Humphrey,6,Matthew Rose|Antonio Lopez|Bryan Finley|Annette Haynes|Joan Boone|Kaylee Gonzalez
Francis Hahn,6,Emily Davenport|Douglas Moore|Rebecca Morales|Daniel Parker|Antonio Simmons|Jane Anderson
Gregory Harper,5,Jane Anderson|Kathy Golden|Albert Murphy|Brady Miller|Toni Foster
Joan Boone,5,Kaylee Gonzalez|Richard Sanchez|Scott Strong|Mary Lewis|Robert Johnson
Brianna Pena,5,Brenda Williams|Melanie Mcmillan|Jacqueline Anderson|Antonio Lopez|Scott Collins
Vanessa Hill,5,Antonio Simmons|Albert Murphy|Sabrina Moore|Scott Collins|Matthew Nelson
Ricardo Weber,5,Matthew Rose|Frank Love|Katie Andrews|Angela Thompson|Antonio Lopez
Sarah Mullins,5,Barbara Hendricks|Annette Haynes|Mrs. Erica Martinez|Jane Schmitt|Gina Evans
Tristan Romero,5,Molly Miller|Cathy Allen|Cathy Allen|Scott Strong|Hannah Berry
Brett Knight,4,Jennifer Singleton|Mario Wright|Kathy Golden|Bryan Flynn
Donna Harris,4,Shannon Molina|Jennifer Singleton|Brenda Graham|Tricia Gibbs
Paula Ramirez,4,Victoria Brady|Douglas Moore|Antonio Lopez|Emily Davenport
Heather Fisher,4,Benjamin Wilson|Andrew Cross|Erin Bishop|Annette Haynes
Willie Orr,4,William Hawkins|Kaylee Gonzalez|Scott Strong|Tiffany Solomon
Elizabeth Castaneda,3,Shelby Soto|James Smith|Matthew Rose
Reginald Hughes,3,Joshua Black|Matthew Rose|William Hawkins
Karen Riley,2,Mary Lewis|Arthur Brandt
