name,birthdate
Bradley Williams II,1917-03-17T13:23:53.952
Matthew Jones,1963-09-23T13:23:53.960
Monica Hernandez,1927-12-07T13:23:53.968
Jordan Thompson,1987-02-08T13:23:53.976
Teresa Lopez,1952-07-16T13:23:53.984
Krystal Neal,1953-07-14T13:23:53.993
Francis Hahn,1921-04-06T13:23:54.010
Frank Mccullough,1967-04-02T13:23:54.023
Angela Alvarado,1975-04-07T13:23:54.043
Craig Summers,1919-04-05T13:23:54.062
Joel Rodriguez,1926-05-12T13:23:54.077
Amy Barrett,1946-07-02T13:23:54.093
Tammy Adams,1924-01-05T13:23:54.103
Theresa Duke,1903-09-11T13:23:54.114
Jeremy Smith,1942-10-10T13:23:54.122
Stephanie Gillespie,1975-06-16T13:23:54.129
Carl Gomez,1938-10-31T13:23:54.137
Damon Cook,1949-06-30T13:23:54.146
Lisa Thomas,1999-05-05T13:23:54.155
Martha Castillo,1979-03-13T13:23:54.163
Nicole Maxwell,1979-03-31T13:23:54.171
Nicholas Silva,2002-04-27T13:23:54.179
Jason Zhang,1950-06-29T13:23:54.187
Carmen Johnson,1992-04-21T13:23:54.195
Sandra Porter,1963-08-26T13:23:54.209
Vanessa Hill,1910-10-30T13:23:54.221
Maurice Phillips,1962-12-27T13:23:54.240
Christina Wheeler,1911-12-29T13:23:54.262
Christopher Mitchell,1988-03-27T13:23:54.281
Christopher Mitchell,1936-04-06T13:23:54.302
Kevin Nguyen,1976-01-09T13:23:54.314
Mark Carr,1926-11-20T13:23:54.322
Anthony Wheeler,1962-08-24T13:23:54.330
Victoria Perkins,1903-01-07T13:23:54.339
Mr. David Walker,1947-09-06T13:23:54.347
John Rodriguez,1916-01-07T13:23:54.356
Adam Blair,1985-08-29T13:23:54.366
Brandon Bradley,1962-06-13T13:23:54.374
Shannon Wilson,1970-08-01T13:23:54.383
Teresa Lopez,1982-12-23T13:23:54.391
Ivan Beard,1976-09-18T13:23:54.402
John Rhodes,1906-03-23T13:23:54.414
Rachel Bolton DDS,1955-04-05T13:23:54.430
Derek Shelton,1907-07-19T13:23:54.447
Jane Schmitt,1990-07-22T13:23:54.464
Erin Contreras,1976-09-26T13:23:54.481
Timothy Taylor II,1938-06-05T13:23:54.496
Gina Evans,1906-03-10T13:23:54.508
Arthur Glass,1963-08-09T13:23:54.521
Jason Padilla MD,1990-08-27T13:23:54.532
Dylan Sanders,1992-01-19T13:23:54.544
Scott Vasquez,1922-09-05T13:23:54.552
Christina Harper,1972-04-30T13:23:54.560
Erin Bishop,1935-06-04T13:23:54.569
Madison Mccullough,1946-05-03T13:23:54.577
Christopher Peterson,1955-07-05T13:23:54.585
Robert Morales,1952-08-01T13:23:54.593
Gina Evans,1900-08-18T13:23:54.603
Cody Williamson,1993-09-04T13:23:54.613
Billy Simpson,1935-06-06T13:23:54.628
Anna Page,1974-08-05T13:23:54.638
Deborah Jones,1944-08-23T13:23:54.656
Michael White,1909-10-31T13:23:54.670
Rachel King,1999-10-12T13:23:54.688
Patrick Brooks,1987-07-14T13:23:54.704
Stephanie Dixon,1909-08-16T13:23:54.718
Howard Kirk,1934-11-12T13:23:54.727
Ashley Lopez,1905-09-14T13:23:54.735
Ronald Roberts,1906-06-04T13:23:54.742
Courtney Graham,1927-12-08T13:23:54.750
Karen Duncan,1935-07-26T13:23:54.758
Darlene Freeman,1979-05-14T13:23:54.768
Nicholas Hoover,1995-06-26T13:23:54.775
Mrs. Darlene Anderson,1948-01-30T13:23:54.783
Rhonda Bowman,1950-10-17T13:23:54.790
Lisa Whitehead,1919-10-07T13:23:54.797
Karen Rodriguez,1922-10-24T13:23:54.805
Jessica Scott,1940-12-24T13:23:54.816
Stephanie Johnson,1916-04-11T13:23:54.834
Jessica King,1989-04-19T13:23:54.848
Karen Riley,2003-04-07T13:23:54.863
Kathleen Miller,1991-10-24T13:23:54.879
Tyler Carter,1919-05-02T13:23:54.895
Kimberly Wong,2002-10-17T13:23:54.910
Christopher Moran,1976-12-25T13:23:54.921
Hannah Berry,1996-10-18T13:23:54.929
Patrick Berry,1911-11-11T13:23:54.937
Steven Hernandez,1997-04-26T13:23:54.945
Timothy Fox,1904-01-25T13:23:54.952
Shelley Page,1915-05-20T13:23:54.961
Sarah Acosta,1973-08-24T13:23:54.968
Rodney Larson,1969-02-15T13:23:54.975
Daniel Reynolds,2000-04-19T13:23:54.984
Heather Elliott,1962-07-11T13:23:54.992
Sean Eaton,1938-10-11T13:23:54.999
Vincent Bowen,1923-06-06T13:23:55.008
Jennifer Singleton,1913-04-17T13:23:55.019
Natalie Gutierrez,1905-03-11T13:23:55.035
Stephanie Miranda,1923-08-06T13:23:55.051
Michelle Logan,1956-11-28T13:23:55.066
Alison Thompson,1953-01-19T13:23:55.081
Scott Watson,1926-07-29T13:23:55.103
Robert Brandt,1945-08-29T13:23:55.119
Kristen Pierce,1967-03-17T13:23:55.131
Bruce Mason,1912-08-02T13:23:55.138
Joel Rodriguez,1971-06-07T13:23:55.145
Cindy Riddle,1993-01-03T13:23:55.153
Teresa Henderson,1975-11-06T13:23:55.161
Shannon Molina,1967-03-07T13:23:55.169
Cynthia Kennedy,1902-08-23T13:23:55.177
Matthew Jackson,1925-02-19T13:23:55.185
Amy Watkins,1938-08-06T13:23:55.192
Jeffrey Conley,1912-04-11T13:23:55.203
Robin Suarez,1979-11-19T13:23:55.216
Mark Hull,1934-12-26T13:23:55.233
Olivia Rojas,1967-03-10T13:23:55.247
Bethany Munoz,1920-06-15T13:23:55.262
Robert Morales,1998-03-27T13:23:55.279
Jerry Johnson,1958-10-20T13:23:55.290
Ryan Miller,1974-10-06T13:23:55.309
Kimberly Cannon,1938-12-02T13:23:55.320
David Wallace,1915-05-29T13:23:55.332
David Murphy,1921-06-07T13:23:55.340
Joan Davis,1917-01-27T13:23:55.347
Dr. Diane Edwards,1970-02-14T13:23:55.355
Natalie Gutierrez,1936-01-28T13:23:55.364
Todd Williams,1980-03-12T13:23:55.371
Sarah Harrington,1917-02-24T13:23:55.378
Tracy Jackson,1924-03-23T13:23:55.386
Scott Walton,1948-08-03T13:23:55.393
Carlos Morrison,1963-03-01T13:23:55.400
Erin Contreras,1987-11-12T13:23:55.408
John Wright,1928-10-21T13:23:55.417
Julie Sheppard,1955-04-22T13:23:55.433
Jeremy Garcia,2001-07-20T13:23:55.449
Rachel King,1950-03-13T13:23:55.465
Shawn Moore,1914-07-24T13:23:55.480
Jennifer Harris,1956-11-25T13:23:55.494
Melissa Martinez,1959-10-23T13:23:55.508
Roger Ortiz,1973-05-17T13:23:55.522
Martha Wallace,2004-11-11T13:23:55.531
Benjamin Wilson,1936-09-10T13:23:55.538
Danielle Davis,1918-03-15T13:23:55.545
Stephen Aguirre,1933-03-31T13:23:55.552
April Hamilton DDS,1977-03-20T13:23:55.560
Emily Parker,1967-09-30T13:23:55.569
Austin Rogers,1940-01-11T13:23:55.576
Norman Myers,1969-10-14T13:23:55.584
Robin Suarez,1941-09-03T13:23:55.591
Cindy Crawford,2001-02-07T13:23:55.598
Diana Summers,1999-02-02T13:23:55.606
David Johnson,1989-09-27T13:23:55.613
Carrie Contreras,1917-11-16T13:23:55.626
Teresa Lopez,1986-12-07T13:23:55.638
Jennifer Davis,1935-06-12T13:23:55.653
Jennifer Powell,1957-09-20T13:23:55.670
Teresa Lopez,1908-09-17T13:23:55.685
Eugene Torres,1906-02-06T13:23:55.697
Howard Kirk,1902-11-23T13:23:55.709
Michael Powers,1998-05-09T13:23:55.721
Mark Lee,1922-04-09T13:23:55.732
Fernando Osborn,1987-05-27T13:23:55.741
John Ward,1982-08-21T13:23:55.749
Michael Baker,1912-10-22T13:23:55.756
Vanessa Hill,1918-07-30T13:23:55.765
Colton Williams DDS,1927-11-24T13:23:55.772
Rebecca Mullins,1957-09-21T13:23:55.780
Vicki Schultz,1982-08-30T13:23:55.787
Bradley Baker Jr.,1999-11-25T13:23:55.794
Kevin Rogers,1983-11-14T13:23:55.802
David Hamilton,1926-11-27T13:23:55.809
Mary Lewis,1976-05-12T13:23:55.820
Chelsea Sexton,1928-11-14T13:23:55.836
Teresa Lopez,1969-06-13T13:23:55.847
Michael Jackson,1932-08-07T13:23:55.863
Joel Stephens,1942-08-07T13:23:55.884
Lisa Thomas,2009-03-19T13:23:55.904
Richard Smith,2001-10-15T13:23:55.930
Steven Jenkins,1975-03-13T13:23:55.940
Dr. Michael Alvarez,1953-08-03T13:23:55.948
Danielle Davis,1907-07-31T13:23:55.956
Robert Huerta,1975-06-09T13:23:55.963
Joy Harvey,1901-12-08T13:23:55.971
Michelle Stanley,1903-02-17T13:23:55.978
Jennifer Vargas,1995-05-12T13:23:55.985
Danielle Hernandez,1968-02-10T13:23:55.992
Joel Rodriguez,2007-08-28T13:23:56
Ashley Moreno,1986-02-27T13:23:56.007
Mary Nelson,1938-05-26T13:23:56.014
Thomas Reid,1935-07-05T13:23:56.025
Lauren Shaw,1949-08-10T13:23:56.044
Jennifer Liu,1977-08-24T13:23:56.054
Christian Price,1934-07-10T13:23:56.070
Tammy Adams,1930-02-13T13:23:56.085
Vicki Schultz,2002-09-05T13:23:56.102
Richard Curtis,1958-02-24T13:23:56.121
Stephanie Gillespie,1974-11-21T13:23:56.134
Lacey Rodriguez,1977-02-11T13:23:56.142
David Johnson,1987-07-14T13:23:56.150
Vincent Dickerson,1962-06-25T13:23:56.159
James Cross,1928-09-06T13:23:56.169
Paula Jacobson,1939-03-13T13:23:56.176
William Greer,1992-02-29T13:23:56.185
Tina Wagner,1975-12-28T13:23:56.193
Gary Collins,1904-09-11T13:23:56.200
Karen Riley,1941-07-13T13:23:56.208
Diana Summers,1931-02-21T13:23:56.215
Robin Suarez,1951-02-20T13:23:56.222
Amanda Gibson,1976-01-23T13:23:56.235
Emily Dudley,1988-04-01T13:23:56.251
Kevin Boyle,1931-02-12T13:23:56.266
Tammy Adams,1979-11-02T13:23:56.280
Donna Torres,1957-03-02T13:23:56.296
Christina Harper,1925-11-23T13:23:56.314
Tanya Simon DVM,1935-08-07T13:23:56.333
Lori Thomas,1981-06-25T13:23:56.348
Olivia Molina,1955-10-06T13:23:56.358
April Hamilton DDS,1986-01-15T13:23:56.365
Denise Navarro,2001-04-11T13:23:56.375
John Olson,1940-11-27T13:23:56.385
William Gibson,1901-11-08T13:23:56.393
Noah Stephens,1985-12-12T13:23:56.402
Theodore Reyes,1910-01-03T13:23:56.411
David Wallace,1924-08-28T13:23:56.421
Ryan Smith,2008-05-07T13:23:56.430
Jennifer Hughes,1902-06-10T13:23:56.443
Jeremy Smith,1910-10-20T13:23:56.462
Alison Mosley,1942-07-29T13:23:56.479
Christopher Moran,1936-03-06T13:23:56.495
Jeremy Smith,1998-08-01T13:23:56.510
Jennifer Harris,1908-01-12T13:23:56.524
Sara Gilbert,1900-05-26T13:23:56.540
Natalie Gutierrez,1946-01-11T13:23:56.558
Martin Le,2005-04-05T13:23:56.566
Erika Ortiz,1946-10-30T13:23:56.573
Brian Hall,1929-07-22T13:23:56.580
Antonio Lopez,1991-11-09T13:23:56.588
William Greer,1987-05-28T13:23:56.596
Gary Rhodes,1938-10-03T13:23:56.605
Amanda Gibson,1927-08-21T13:23:56.613
Steve Bell,1977-06-17T13:23:56.622
Sheila Jones,1926-07-13T13:23:56.633
Jennifer Bryant,1901-07-21T13:23:56.643
William Hawkins,1984-03-22T13:23:56.664
Carrie Gallagher,1925-04-02T13:23:56.680
Jennifer Liu,2002-07-07T13:23:56.696
Theresa Martin,1975-10-16T13:23:56.709
Gloria Saunders,1943-02-03T13:23:56.726
Wesley Brooks,1986-08-08T13:23:56.736
Patricia Clark,1985-01-16T13:23:56.747
Shawn Moore,1958-01-25T13:23:56.755
David Garza,1932-09-29T13:23:56.762
Amy Johnson,1916-01-18T13:23:56.769
Denise Smith,1926-08-27T13:23:56.776
Rebecca Mullins,1992-02-07T13:23:56.784
Rachel King,1980-04-27T13:23:56.791
Chelsea Sexton,1933-05-04T13:23:56.798
Gregory Lane,1998-05-01T13:23:56.805
Matthew Jones,1914-08-31T13:23:56.812
Melanie Griffin,1980-10-31T13:23:56.819
Katherine Martin,1950-10-07T13:23:56.826
Melanie Mcmillan,1936-12-28T13:23:56.835
Emily Collins,1992-05-12T13:23:56.849
Timothy Lee II,1900-12-27T13:23:56.867
Damon Houston,1940-06-13T13:23:56.880
Kimberly Walters,1931-01-07T13:23:56.893
James Roberts,1906-01-27T13:23:56.904
Gabrielle Henry,1940-09-18T13:23:56.919
Stephanie Miranda,1935-12-29T13:23:56.932
William Rodriguez,1936-03-30T13:23:56.940
David Williams,1952-10-30T13:23:56.948
Bradley Mitchell,1928-06-16T13:23:56.956
Katherine Martin,1992-03-09T13:23:56.963
Patrick Berry,1996-10-10T13:23:56.971
James Austin,1909-03-13T13:23:56.978
David Bass,1994-08-18T13:23:56.988
Martin Morris,1961-08-04T13:23:56.994
Benjamin Williams,1927-03-16T13:23:57.001
Belinda Knight,1965-10-18T13:23:57.007
Martha Wallace,1944-10-21T13:23:57.015
Becky Roberts,1920-07-17T13:23:57.023
Andrew Cross,1960-12-17T13:23:57.031
Brian Coleman,1919-12-19T13:23:57.041
Gary White,1955-05-15T13:23:5name,birthdate
Holly Anderson,2004-01-27T13:23:50.799
Alan Miller,2009-12-20T13:23:51.807
Jessica Harris,1953-09-17T13:23:51.832
Matthew Barnes,1904-03-24T13:23:51.845
Mary Lewis,1969-05-20T13:23:51.866
Cynthia Hunt,1959-06-19T13:23:51.879
Kaylee Gonzalez,1963-03-09T13:23:51.894
Maria Reese,2002-01-08T13:23:51.906
Crystal Trevino,1994-03-13T13:23:51.919
Bryan Finley,1961-12-09T13:23:51.932
Rebecca Morales,1910-02-04T13:23:51.942
Keith Phelps,1936-10-13T13:23:51.953
Daniel Parker,1966-10-01T13:23:51.970
Julie Sheppard,1971-02-08T13:23:51.994
James Smith,1936-09-07T13:23:52.027
Benjamin Wilson,1960-04-15T13:23:52.053
Holly Anderson,1963-01-10T13:23:52.081
Joel Stephens,2004-11-13T13:23:52.098
Brenda Williams,1930-01-10T13:23:52.111
Tim Sanchez,1988-01-03T13:23:52.127
Dennis Walker,1961-08-15T13:23:52.140
Julia Francis,1994-05-09T13:23:52.153
Toni Foster,1904-12-06T13:23:52.171
David Johnson,1924-05-24T13:23:52.202
Julian Adams,1919-04-16T13:23:52.230
Scott Collins,1960-05-01T13:23:52.257
Angela Perkins,1977-04-30T13:23:52.278
Melanie Mcmillan,1966-05-15T13:23:52.292
Jacqueline Anderson,1933-03-07T13:23:52.305
Barbara Hendricks,1948-09-27T13:23:52.318
Antonio Lopez,1993-05-16T13:23:52.332
Katelyn Perez,1920-03-29T13:23:52.345
Kimberly Cannon,1931-09-07T13:23:52.360
Jennifer Singleton,1936-05-04T13:23:52.382
Brian Hall,1906-05-03T13:23:52.408
Eugene Torres,1972-05-10T13:23:52.436
Sergio Norton,1968-04-14T13:23:52.465
Victoria Brady,1983-05-30T13:23:52.485
James Wheeler,1907-10-01T13:23:52.501
Nicholas Willis,1968-03-02T13:23:52.517
Angela Thompson,1977-07-22T13:23:52.527
Richard Peterson,1913-04-26T13:23:52.539
Jane Schmitt,1990-01-26T13:23:52.551
Kaylee Gonzalez,2008-03-08T13:23:52.568
Bruce Dillon,1944-01-31T13:23:52.587
Robert Johnson,1921-07-25T13:23:52.612
Gina Evans,1941-03-22T13:23:52.638
Shannon Molina,2009-03-23T13:23:52.665
April Brown,1965-06-05T13:23:52.682
Annette Haynes,2004-01-17T13:23:52.693
Cathy Allen,1925-01-07T13:23:52.703
Shannon Hodges,1941-07-21T13:23:52.715
Katie Andrews,1975-01-23T13:23:52.725
Erin Bishop,1917-03-19T13:23:52.736
Joshua Black,1910-08-11T13:23:52.746
Mario Wright,1941-03-12T13:23:52.756
Richard Sanchez,2007-11-15T13:23:52.767
Katie Fitzpatrick,1913-11-27T13:23:52.782
Jesse Patterson,1974-06-24T13:23:52.804
Matthew Rose,1924-07-18T13:23:52.826
Emily Davenport,1970-11-04T13:23:52.847
Joan Boone,2007-03-29T13:23:52.868
Matthew Nelson,1977-04-05T13:23:52.883
Jason Zhang,1923-02-07T13:23:52.897
Brenda Graham,1946-06-24T13:23:52.909
William Hawkins,1966-03-17T13:23:52.920
Cynthia Solomon,1965-06-25T13:23:52.933
Bethany Munoz,1930-07-07T13:23:52.946
Aaron Guzman,1912-12-12T13:23:52.955
Gary Rhodes,1986-11-03T13:23:52.967
David Larsen,2001-09-26T13:23:52.977
William Martinez PhD,1915-11-20T13:23:52.996
Kathy Golden,2006-04-11T13:23:53.016
Mrs. Erica Martinez,1946-09-27T13:23:53.037
Mary Moore,1958-08-24T13:23:53.056
Andrew Cross,1948-03-10T13:23:53.078
Sabrina Moore,1988-10-23T13:23:53.090
Robert Warren,1952-10-09T13:23:53.102
Bryan Flynn,1959-03-20T13:23:53.111
Melanie Griffin,1959-10-08T13:23:53.122
Jane Anderson,1993-08-12T13:23:53.132
Douglas Moore,1913-05-13T13:23:53.140
Brady Miller,1902-12-10T13:23:53.150
Shelby Soto,1993-05-04T13:23:53.160
Arthur Brandt,2006-11-17T13:23:53.174
Joseph Morris,1977-07-21T13:23:53.196
Hannah Berry,1916-04-05T13:23:53.223
Denise Moore,1935-09-24T13:23:53.249
Meghan Robbins,1906-08-10T13:23:53.269
Albert Murphy,1960-11-07T13:23:53.285
Frank Love,1972-12-23T13:23:53.298
Shirley Scott,1947-03-19T13:23:53.307
Matthew Rose,1913-07-16T13:23:53.317
Scott Strong,2003-01-25T13:23:53.326
Tiffany Solomon,1994-04-25T13:23:53.335
Molly Miller,1961-06-18T13:23:53.343
Tricia Gibbs,1918-03-12T13:23:53.353
Antonio Simmons,1972-05-31T13:23:53.362
Robert Johnson,1991-08-14T13:23:53.370
Katherine Martin,2009-05-27T13:23:53.381
Jessica King,1939-07-26T13:23:53.399
Carly Lawrence,1947-01-03T13:23:53.418
Sarah Mullins,1930-04-25T13:23:53.434
Bryan Finley,1979-07-21T13:23:53.452
Miguel Wilson,1966-12-07T13:23:53.469
Rebecca Mullins,2007-04-07T13:23:53.493
Shannon Nunez,1921-06-18T13:23:53.503
John Ward,1976-10-04T13:23:53.512
Harold Green,1963-05-10T13:23:53.521
Anthony Floyd,1993-06-06T13:23:53.530
Kayla Nguyen,1946-08-17T13:23:53.538
Craig Summers,1975-07-20T13:23:53.548
Sandra Kent,1929-01-24T13:23:53.557
Shannon Molina,1992-09-27T13:23:53.566
Paula Ramirez,1970-01-10T13:23:53.576
Claudia Monroe,1946-03-04T13:23:53.588
James Austin,1931-11-29T13:23:53.605
Kevin Sanchez,1910-04-29T13:23:53.628
Frank Mccullough,2003-03-06T13:23:53.650
Joshua Yu,1942-08-05T13:23:53.668
April Williams,1939-11-25T13:23:53.685
Thomas Moss,1970-07-28T13:23:53.698
Kristy Mcbride,1911-11-03T13:23:53.706
Linda Brown,1917-12-17T13:23:53.715
Seth Hubbard,1922-09-25T13:23:53.723
Rachel Wu,1997-10-04T13:23:53.731
Joseph Bass,1984-09-05T13:23:53.740
Jessica Scott,1909-11-05T13:23:53.749
Mary Lewis,1979-11-18T13:23:53.773
Alexandria Simmons,1915-07-07T13:23:53.782
Jennifer Parker,1989-05-23T13:23:53.797
Mary Lewis,1927-01-10T13:23:53.812
Denise Navarro,2001-09-06T13:23:53.827
Dennis Elliott,1951-03-12T13:23:53.842
Robert Hicks,1988-02-04T13:23:53.860
Jonathan Jacobs,1974-11-16T13:23:53.875
Tammy Horton,1984-12-19T13:23:53.893
Anna Jones,1950-02-04T13:23:53.905
Natalie Gutierrez,1973-01-31T13:23:53.913
Mark Montgomery,1908-09-24T13:23:53.921
Kayla White,1964-09-15T13:23:53.929
Kristy Gentry,1974-10-26T13:23:53.937
Michelle Moore,1964-06-01T13:23:53.945
Bradley Williams II,1917-03-17T13:23:53.952
Matthew Jones,1963-09-23T13:23:53.960
Monica Hernandez,1927-12-07T13:23:53.968
Jordan Thompson,1987-02-08T13:23:53.976
Teresa Lopez,1952-07-16T13:23:53.984
Krystal Neal,1953-07-14T13:23:53.993
Francis Hahn,1921-04-06T13:23:54.010
Frank Mccullough,1967-04-02T13:23:54.023
Angela Alvarado,1975-04-07T13:23:54.043
Craig Summers,1919-04-05T13:23:54.062
Joel Rodriguez,1926-05-12T13:23:54.077
Amy Barrett,1946-07-02T13:23:54.093
Tammy Adams,1924-01-05T13:23:54.103
Theresa Duke,1903-09-11T13:23:54.114
Jeremy Smith,1942-10-10T13:23:54.122
Stephanie Gillespie,1975-06-16T13:23:54.129
Carl Gomez,1938-10-31T13:23:54.137
Damon Cook,1949-06-30T13:23:54.146
Lisa Thomas,1999-05-05T13:23:54.155
Martha Castillo,1979-03-13T13:23:54.163
Nicole Maxwell,1979-03-31T13:23:54.171
Nicholas Silva,2002-04-27T13:23:54.179
Jason Zhang,1950-06-29T13:23:54.187
Carmen Johnson,1992-04-21T13:23:54.195
Sandra Porter,1963-08-26T13:23:54.209
Vanessa Hill,1910-10-30T13:23:54.221
Maurice Phillips,1962-12-27T13:23:54.240
Christina Wheeler,1911-12-29T13:23:54.262
